"bill","policy","sponsor","cosponsors"
"S_311","Crime and Law Enforcement","Sen. Sasse, Ben  [R-NE]","Sen. Tillis, Thom [R-NC]"
"S_311","Crime and Law Enforcement","Sen. Sasse, Ben  [R-NE]","Sen. Wicker, Roger F. [R-MS]"
"S_311","Crime and Law Enforcement","Sen. Sasse, Ben  [R-NE]","Sen. Young, Todd C. [R-IN]"
"S_311","Crime and Law Enforcement","Sen. Sasse, Ben  [R-NE]","Sen. Alexander, Lamar [R-TN]"
"S_311","Crime and Law Enforcement","Sen. Sasse, Ben  [R-NE]","Sen. Lee, Mike [R-UT]"
"S_311","Crime and Law Enforcement","Sen. Sasse, Ben  [R-NE]","Sen. Sullivan, Dan  [R-AK]"
"S_311","Crime and Law Enforcement","Sen. Sasse, Ben  [R-NE]","Sen. Toomey, Pat [R-PA]"
"S_311","Crime and Law Enforcement","Sen. Sasse, Ben  [R-NE]","Sen. Capito, Shelley Moore [R-WV]"
"S_311","Crime and Law Enforcement","Sen. Sasse, Ben  [R-NE]","Sen. McSally, Martha [R-AZ]"
"S_311","Crime and Law Enforcement","Sen. Sasse, Ben  [R-NE]","Sen. Scott, Rick  [R-FL]"
"S_311","Crime and Law Enforcement","Sen. Sasse, Ben  [R-NE]","Sen. Paul, Rand [R-KY]"
"S_311","Crime and Law Enforcement","Sen. Sasse, Ben  [R-NE]","Sen. Shelby, Richard C. [R-AL]"
"S_311","Crime and Law Enforcement","Sen. Sasse, Ben  [R-NE]","Sen. Gardner, Cory [R-CO]"
"S_3110","Armed Forces and National Security","Sen. Tillis, Thom [R-NC]","Sen. Tillis, Thom [R-NC]"
"S_3111","Finance and Financial Sector","Sen. Perdue, David [R-GA]","Sen. Jones, Doug [D-AL]"
"S_3111","Finance and Financial Sector","Sen. Perdue, David [R-GA]","Sen. Moran, Jerry [R-KS]"
"S_3111","Finance and Financial Sector","Sen. Perdue, David [R-GA]","Sen. Sasse, Ben  [R-NE]"
"S_3111","Finance and Financial Sector","Sen. Perdue, David [R-GA]","Sen. Cotton, Tom [R-AR]"
"S_3112","Taxation","Sen. Cruz, Ted [R-TX]","Sen. Braun, Mike  [R-IN]"
"S_3112","Taxation","Sen. Cruz, Ted [R-TX]","Sen. Risch, James E. [R-ID]"
"S_3112","Taxation","Sen. Cruz, Ted [R-TX]","Sen. Loeffler, Kelly [R-GA]"
"S_3113","Native Americans","Sen. Tester, Jon [D-MT]","Sen. Tester, Jon [D-MT]"
"S_3114","Education","Sen. Enzi, Michael B. [R-WY]","Sen. Enzi, Michael B. [R-WY]"
"S_3115","Education","Sen. Enzi, Michael B. [R-WY]","Sen. Barrasso, John [R-WY]"
"S_3115","Education","Sen. Enzi, Michael B. [R-WY]","Sen. Romney, Mitt  [R-UT]"
"S_3116","Health","Sen. Collins, Susan M. [R-ME]","Sen. Jones, Doug [D-AL]"
"S_3116","Health","Sen. Collins, Susan M. [R-ME]","Sen. McSally, Martha [R-AZ]"
"S_3116","Health","Sen. Collins, Susan M. [R-ME]","Sen. Menendez, Robert [D-NJ]"
"S_3116","Health","Sen. Collins, Susan M. [R-ME]","Sen. Smith, Tina  [D-MN]"
"S_3117","Environmental Protection","Sen. Blumenthal, Richard [D-CT]","Sen. Merkley, Jeff [D-OR]"
"S_3117","Environmental Protection","Sen. Blumenthal, Richard [D-CT]","Sen. Hirono, Mazie K. [D-HI]"
"S_3117","Environmental Protection","Sen. Blumenthal, Richard [D-CT]","Sen. Rosen, Jacky [D-NV]"
"S_3118","Crime and Law Enforcement","Sen. Johnson, Ron [R-WI]","Sen. Peters, Gary C. [D-MI]"
"S_3119","Public Lands and Natural Resources","Sen. McSally, Martha [R-AZ]","Sen. Sinema, Kyrsten [D-AZ]"
"S_3119","Public Lands and Natural Resources","Sen. McSally, Martha [R-AZ]","Sen. Kelly, Mark [D-AZ]"
