"bill","policy","sponsor","cosponsors"
"S_3056","Public Lands and Natural Resources","Sen. Durbin, Richard J. [D-IL]","Sen. Blumenthal, Richard [D-CT]"
"S_3056","Public Lands and Natural Resources","Sen. Durbin, Richard J. [D-IL]","Sen. Reed, Jack [D-RI]"
"S_3056","Public Lands and Natural Resources","Sen. Durbin, Richard J. [D-IL]","Sen. Sanders, Bernard [I-VT]"
"S_3056","Public Lands and Natural Resources","Sen. Durbin, Richard J. [D-IL]","Sen. Merkley, Jeff [D-OR]"
"S_3056","Public Lands and Natural Resources","Sen. Durbin, Richard J. [D-IL]","Sen. Stabenow, Debbie [D-MI]"
"S_3056","Public Lands and Natural Resources","Sen. Durbin, Richard J. [D-IL]","Sen. Heinrich, Martin [D-NM]"
"S_3056","Public Lands and Natural Resources","Sen. Durbin, Richard J. [D-IL]","Sen. Klobuchar, Amy [D-MN]"
"S_3056","Public Lands and Natural Resources","Sen. Durbin, Richard J. [D-IL]","Sen. Baldwin, Tammy [D-WI]"
"S_3056","Public Lands and Natural Resources","Sen. Durbin, Richard J. [D-IL]","Sen. Rosen, Jacky [D-NV]"
"S_3056","Public Lands and Natural Resources","Sen. Durbin, Richard J. [D-IL]","Sen. Leahy, Patrick J. [D-VT]"
"S_3056","Public Lands and Natural Resources","Sen. Durbin, Richard J. [D-IL]","Sen. Casey, Robert P., Jr. [D-PA]"
"S_3056","Public Lands and Natural Resources","Sen. Durbin, Richard J. [D-IL]","Sen. Menendez, Robert [D-NJ]"
"S_3056","Public Lands and Natural Resources","Sen. Durbin, Richard J. [D-IL]","Sen. Duckworth, Tammy [D-IL]"
"S_3056","Public Lands and Natural Resources","Sen. Durbin, Richard J. [D-IL]","Sen. Markey, Edward J. [D-MA]"
"S_3056","Public Lands and Natural Resources","Sen. Durbin, Richard J. [D-IL]","Sen. Peters, Gary C. [D-MI]"
"S_3056","Public Lands and Natural Resources","Sen. Durbin, Richard J. [D-IL]","Sen. Wyden, Ron [D-OR]"
"S_3056","Public Lands and Natural Resources","Sen. Durbin, Richard J. [D-IL]","Sen. Gillibrand, Kirsten E. [D-NY]"
"S_3056","Public Lands and Natural Resources","Sen. Durbin, Richard J. [D-IL]","Sen. Murray, Patty [D-WA]"
"S_3056","Public Lands and Natural Resources","Sen. Durbin, Richard J. [D-IL]","Sen. Smith, Tina  [D-MN]"
"S_3056","Public Lands and Natural Resources","Sen. Durbin, Richard J. [D-IL]","Sen. Booker, Cory A. [D-NJ]"
"S_3056","Public Lands and Natural Resources","Sen. Durbin, Richard J. [D-IL]","Sen. Murphy, Christopher [D-CT]"
"S_3057","Social Welfare","Sen. Collins, Susan M. [R-ME]","Sen. Casey, Robert P., Jr. [D-PA]"
"S_3058","Education","Sen. Durbin, Richard J. [D-IL]","Sen. Durbin, Richard J. [D-IL]"
